method,model_npz,motion_nn_mean_m,motion_nn_median_m,motion_vs_static_gain_percent,motion_inlier_ratio,axis_x_signed_mean_m,axis_y_signed_mean_m,axis_z_signed_mean_m,axis_bias_l2_m
KalmanPrevious,output\Bonn\bonn_balloon\4d_model_previous_motion\model_4d.npz,nan,nan,nan,0.0,nan,nan,nan,0.0
LearnedRegion,outputs\Bonn\bonn_balloon\4d_model_learned_motion_region\model_4d.npz,0.07540208704182302,0.046474410590381765,2.9001601610824763,0.9799702878751675,-0.00019170009181834757,-0.0010397890582680702,-0.0012202401412650943,0.0016145885585039368
